Ingredient,Count,Price/unit
salt, 568, 0.09/unit
sugar, 446, 0.56/unit
butter, 411, 0.72/unit
flour, 261, 0.24/unit
eggs, 254, 0.15/unit
water, 251, 0.00/unit
onion, 210, 0.50/unit
milk, 200, 0.70/unit
baking powder, 153, 0.50/unit
pepper, 146, 0.34/unit
garlic, 135, 0.75/unit
margarine, 133, 0.30/unit
cinnamon, 127, 1.25/unit
olive oil, 124, 0.45/unit
egg, 123, 0.15/unit
all-purpose flour, 122, 0.25/unit
brown sugar, 116, 0.55/unit
vanilla, 114, 2.00/unit
lemon juice, 103, 0.50/unit
baking soda, 102, 0.50/unit
tomatoes, 79, 1.00/unit
nutmeg, 73, 1.50/unit
vanilla extract, 71, 3.00/unit
garlic cloves, 67, 0.80/unit
cornstarch, 63, 0.40/unit
celery, 61, 1.00/unit
parsley, 61, 0.85/unit
onions, 59, 0.50/unit
sour cream, 59, 1.25/unit
black pepper, 55, 0.20/unit
granulated sugar, 51, 0.56/unit
soy sauce, 51, 0.65/unit
parmesan cheese, 50, 1.50/unit
cream cheese, 47, 1.20/unit
ginger, 45, 0.80/unit
raisins, 43, 1.00/unit
heavy cream, 43, 2.50/unit
potatoes, 43, 0.40/unit
unsalted butter, 42, 0.75/unit
lemon, 41, 0.50/unit
paprika, 41, 0.70/unit
cumin, 38, 1.00/unit
fresh parsley, 38, 0.85/unit
chicken, 37, 3.00/unit
bacon, 37, 2.50/unit
honey, 36, 3.50/unit
pecans, 36, 5.00/unit
carrot, 36, 0.50/unit
green pepper, 35, 1.20/unit
Worcestershire sauce, 35, 1.75/unit
buttermilk, 35, 1.00/unit
powdered sugar, 34, 0.75/unit
mayonnaise, 34, 1.50/unit
walnuts, 33, 5.00/unit
carrots, 32, 0.50/unit
cheddar cheese, 32, 1.75/unit
garlic clove, 32, 0.75/unit
chili powder, 31, 0.80/unit
oregano, 31, 0.60/unit
shortening, 29, 0.75/unit
vinegar, 29, 0.60/unit
rind of, 28, 0.15/unit
garlic powder, 27, 0.70/unit
coconut, 26, 1.50/unit
green onions, 26, 1.00/unit
zucchini, 25, 1.20/unit
chicken broth, 25, 1.00/unit
confectioners' sugar, 25, 0.75/unit
curry powder, 25, 0.75/unit
clove, 24, 1.00/unit
fresh lemon juice, 24, 0.50/unit
lime juice, 24, 0.50/unit
cayenne pepper, 23, 0.75/unit
beef, 23, 3.50/unit
tomato sauce, 22, 0.75/unit
green onion, 21, 1.00/unit
allspice, 21, 1.50/unit
tomato paste, 21, 0.90/unit
mozzarella cheese, 20, 2.00/unit
rice, 20, 0.80/unit
white pepper, 19, 0.90/unit
cornmeal, 19, 0.70/unit
light brown sugar, 19, 0.55/unit
whole wheat flour, 19, 0.40/unit
evaporated milk, 19, 1.00/unit
apples, 19, 1.00/unit
lemons, 18, 0.50/unit
skim milk, 18, 0.80/unit
bay leaf, 18, 1.25/unit
fresh ginger, 18, 1.00/unit
brandy, 18, 5.00/unit
dry mustard, 18, 0.50/unit
boiling water, 17, 0.00/unit
basil, 17, 0.90/unit
monterey jack cheese, 17, 2.00/unit
blueberries, 16, 3.00/unit
cider vinegar, 16, 1.00/unit
fresh dill, 16, 0.85/unit
extra virgin olive oil, 16, 0.90/unit
dry white wine, 16, 4.00/unit
cucumber, 16, 1.00/unit
red bell pepper, 16, 1.20/unit
mushrooms, 15, 1.50/unit
canola oil, 15, 0.50/unit
dried oregano, 15, 1.00/unit
red wine vinegar, 14, 1.00/unit
mushroom, 14, 1.50/unit
sherry wine, 14, 4.00/unit
rolled oats, 14, 0.75/unit
red wine, 14, 5.00/unit
cheese, 14, 2.00/unit
fresh cilantro, 14, 0.85/unit
cilantro, 13, 0.85/unit
cream of tartar, 13, 1.25/unit
pineapple, 13, 1.50/unit
white wine, 13, 4.00/unit
dry sherry, 13, 4.00/unit
sesame seeds, 13, 1.50/unit
fresh basil, 13, 0.90/unit
feta cheese, 13, 2.50/unit
bananas, 13, 0.30/unit
sweet potatoes, 12, 1.20/unit
chocolate chips, 12, 2.50/unit
plain yogurt, 11, 0.80/unit
boneless skinless chicken breast halves, 11, 4.00/unit
dark brown sugar, 11, 0.55/unit
swiss cheese, 11, 2.50/unit
thyme, 11, 0.80/unit
scallions, 11, 1.00/unit
sharp cheddar cheese, 11, 2.00/unit
orange, 11, 1.00/unit
green bell pepper, 11, 1.20/unit
zest of, 10, 0.50/unit
graham cracker crumbs, 10, 1.00/unit
cake flour, 10, 1.20/unit
white sugar, 10, 0.56/unit
light corn syrup, 10, 2.00/unit
ketchup, 10, 0.90/unit
chives, 10, 0.90/unit
shrimp, 10, 5.00/unit
turmeric, 10, 1.00/unit
lemon zest, 10, 0.50/unit
vegetable shortening, 10, 0.70/unit
chicken breasts, 10, 4.00/unit
chicken breast, 10, 4.00/unit
Dijon mustard, 10, 1.00/unit
miniature marshmallows, 10, 1.00/unit
potato, 10, 0.30/unit
red onion, 10, 0.60/unit
cornflour, 10, 0.50/unit
ham, 10, 3.00/unit
yellow cornmeal, 10, 0.70/unit
pumpkin, 10, 1.20/unit
pecan halves, 9, 5.00/unit
fresh mushrooms, 9, 1.50/unit
instant coffee, 9, 2.00/unit
apple, 9, 1.00/unit
half-and-half, 9, 1.50/unit
gingerroot, 9, 1.00/unit
cloves, 9, 1.50/unit
fresh thyme, 9, 0.90/unit
boneless skinless chicken breasts, 9, 4.00/unit
cabbage, 8, 1.00/unit
butter milk, 8, 1.00/unit
broccoli, 8, 1.20/unit
blue cheese, 8, 2.50/unit
rhubarb, 8, 2.00/unit
dates, 8, 2.50/unit
lard, 8, 2.00/unit
avocado, 8, 1.50/unit
allspice powder, 8, 1.50/unit
dried fruit, 8, 2.00/unit
cream of mushroom soup, 8, 1.00/unit
curry, 8, 0.75/unit
green beans, 8, 1.00/unit
tomato, 8, 1.00/unit
coconut milk, 8, 1.50/unit
apricots, 8, 2.50/unit
tahini, 7, 2.50/unit
cornstarch powder, 7, 0.50/unit
dried rosemary, 7, 1.25/unit
basil leaves, 7, 0.90/unit
pomegranate, 7, 2.50/unit
almonds, 7, 5.00/unit
sea salt, 7, 1.00/unit
chili flakes, 7, 0.80/unit
yogurt, 7, 0.80/unit
sage, 7, 0.75/unit
capers, 7, 1.50/unit
ghee, 7, 3.00/unit
cream, 7, 2.50/unit
tofu, 7, 3.00/unit
grated cheese, 6, 2.50/unit
sweet onion, 6, 0.60/unit
cracked black pepper, 6, 0.20/unit
salted butter, 6, 0.72/unit
frozen peas, 6, 1.00/unit
cabbage leaves, 6, 1.00/unit
creme fraiche, 6, 2.00/unit
cooked rice, 6, 0.80/unit
cashew pieces, 1, 2.00/unit
frozen English peas, 1, 1.00/unit
craisins, 1, 2.50/unit
white corn syrup, 1, 1.50/unit
raw peanuts, 1, 2.00/unit
red apples, 1, 1.00/unit
chicken fillets, 1, 4.00/unit
butterscotch pudding, 1, 1.00/unit
grits, 1, 1.00/unit
tarragon vinegar, 1, 2.00/unit
filet of beef, 1, 10.00/unit
flank of beef, 1, 8.00/unit
double-acting baking powder, 1, 0.80/unit
citron, 1, 2.00/unit
key lime juice, 1, 1.00/unit
key lime zest, 1, 1.00/unit
chili pepper, 1, 0.75/unit
vegetable marrows, 1, 2.00/unit
frozen puff pastry, 1, 3.00/unit
blackberries, 1, 2.50/unit
self-rising flour, 1, 1.50/unit
beef flank steak, 1, 7.50/unit
boneless pork, 1, 5.00/unit
marmalade, 1, 2.00/unit
fresh rhubarb, 1, 2.50/unit
frozen rhubarb, 1, 2.00/unit
Greek feta cheese, 1, 3.00/unit
creamed shortening, 1, 1.50/unit
cauliflower head, 1, 2.00/unit
mashed potatoes, 1, 1.50/unit
capers, 1, 1.50/unit
hash browns, 1, 1.00/unit
unflavored gelatin, 1, 0.75/unit
bok choy, 1, 1.50/unit
solid pack pumpkin, 1, 1.00/unit
fresh pumpkin, 1, 2.00/unit
chicken bouillon granules, 1, 1.00/unit
raw chicken, 1, 4.50/unit
rindless smoked streaky bacon, 1, 5.00/unit
turnips, 1, 1.00/unit
other green loose-leafed cabbage, 1, 1.00/unit
white cheddar cheese, 1, 3.00/unit
fat free vanilla ice cream, 1, 2.00/unit
ground pork, 1, 4.00/unit
tuna in water, 1, 1.50/unit
frozen green peas, 1, 1.00/unit
fresh zucchini, 1, 1.00/unit
quick-cooking grits, 1, 1.00/unit
masa harina mix, 1, 2.00/unit
reduced-fat monterey jack cheese, 1, 3.00/unit
light margarine, 1, 1.50/unit
dried chipotle chiles, 1, 1.50/unit
canned chipotle chile puree, 1, 2.00/unit
tortilla chip strips, 1, 1.50/unit
light cherry pie filling, 1, 1.00/unit
Pernod, 1, 4.00/unit
pastis, 1, 4.00/unit
anise seed, 1, 1.00/unit
herb seasoning mix, 1, 1.50/unit
red cabbage, 1, 1.50/unit
mini marshmallows, 1, 1.50/unit
chocolate curls, 1, 2.00/unit
sugar water, 1, 1.00/unit
black dates, 1, 2.00/unit
white grape wine, 1, 4.00/unit
wine, 1, 3.50/unit
cooking wine, 1, 2.50/unit
frozen okra, 1, 2.00/unit
white corn, 1, 1.00/unit
apricot gelatin, 1, 1.00/unit
low-sodium instant chicken bouillon granules, 1, 1.00/unit
anchovy, 1, 2.00/unit
lamb shanks, 1, 7.00/unit
sugar snap pea, 1, 2.00/unit
fine rolled oats, 1, 1.00/unit
armagnac, 1, 6.00/unit
other brandy, 1, 5.00/unit
solid-type fat-free margarine, 1, 1.50/unit
pourable fat-free margarine, 1, 1.50/unit
sweet Hungarian paprika, 1, 1.00/unit
dried savory, 1, 1.00/unit
beef bouillon cubes, 1, 1.00/unit
yellow chile, 1, 0.75/unit
ground beef round, 1, 4.50/unit
diced tomatoes with green chilies, 1, 1.00/unit
ground coriander, 1, 1.00/unit
adobo sauce, 1, 1.00/unit
ground turmeric, 1, 0.75/unit
vegetable marrow, 1, 2.00/unit
fresh peas, 1, 1.50/unit
whole toasted hazelnuts, 1, 5.00/unit
roasted sichuan peppercorn, 1, 1.50/unit
round tip steak, 1, 5.00/unit
fresh spinach leaves, 1, 1.50/unit
active compressed yeast, 1, 1.00/unit
fresh sorrel leaves, 1, 2.00/unit
dried rosemary leaves, 1, 1.00/unit
Meyer's dark rum, 1, 6.00/unit
celery leaves, 1, 1.00/unit
boneless beef top sirloin steaks, 1, 6.00/unit
single strength beef broth, 1, 1.50/unit
other sweet onion, 1, 0.60/unit
prepared honey-dijon barbecue sauce, 1, 1.50/unit
spaghetti squash, 1, 2.00/unit
wild fennel, 1, 2.50/unit
salted peanuts, 1, 2.00/unit
Rotel Tomatoes, 1, 1.00/unit
diced tomatoes, 1, 1.00/unit
oleo, 1, 1.00/unit
frozen lemon juice, 1, 1.00/unit
suet, 1, 2.00/unit
self-raising flour, 1, 1.50/unit
vegetable suet, 1, 2.00/unit
beef suet, 1, 2.50/unit
custard, 1, 2.00/unit
idaho baking potatoes, 1, 1.00/unit
beef round tip steak, 1, 5.00/unit
red chili peppers, 1, 1.00/unit
reduced-sodium soy sauce, 1, 1.50/unit
boneless beef top sirloin steak, 1, 6.00/unit
dill sprigs, 1, 1.00/unit
walnut halves, 1, 4.00/unit
hot chili pepper, 1, 0.75/unit
low-fat coconut milk, 1, 1.50/unit
another sweetener, 1, 2.00/unit
instant garlic, 1, 0.75/unit
hot chili sauce, 1, 1.00/unit
tangerine, 1, 1.50/unit
dried mint, 1, 1.00/unit
lady savoiardi, 1, 1.50/unit
strong rich coffee, 1, 3.00/unit
best olive oil, 1, 5.00/unit
Contadina tomato sauce, 1, 1.00/unit
Contadina tomato paste, 1, 1.00/unit
mild Italian sausage, 1, 3.50/unit
rolled roast beef, 1, 6.00/unit
ground pepper, 1, 0.50/unit
cantaloupe, 1, 2.00/unit
fat free tortillas, 1, 2.00/unit
fat free sour cream, 1, 1.50/unit
nonfat beef broth, 1, 1.50/unit
