RecipeId,Barcode,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,Estimated_Cost,Ingredients,TotalTime_minutes,Calories_per_serving,Protein_per_serving,Fat_per_serving,Carbs_per_serving,Cost_per_serving,health_score,health_score_norm,cost_score_norm,time_score_norm,rating_score_norm,combined_score,preference_score,final_score
573.0,*573*,Fried Yellow Squash,1642.0,M Messer,PT5M,PT5M,PT10M,1999-09-02T04:41:00Z,Make and share this Fried Yellow Squash recipe from Food.com.,character(0),Vegetable,"c(""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""1"", ""1/2"", ""1/2"", NA, NA, ""1"")","c(""buttermilk"", ""yellow cornmeal"", ""all-purpose flour"", ""salt"")",5.0,25.0,579.6,5.6,1.9,9.8,295.5,112.4,8.1,17.2,21.9,,1 batch,"c(""Soak squash in buttermilk to cover, at least 5 minutes."", ""Mix dry ingredients together."", ""Dredge marinated squash in cornmeal mixture (I use a Ziploc baggie & shake until covered)."", ""Fry in  vegetable oil until golden, turn and fry until lightly golden on other side."", ""Salt lightly, remove from oil, & drain on paper towels."", ""This is delicious - also  works for fried green tomatoes (cut green tomatoes at least 1/4\"" slices)."", ""If you like fried okra - batter should be 1 cup milk + 1 egg."", 
""Dredge in same mixture  as above & salt as you do for squash & drain on paper towels."")",3.8,"['buttermilk', 'yellow cornmeal', 'all-purpose flour', 'salt']",10,579.6,21.9,5.6,112.4,3.8,0.7124232130701158,0.8288642871026518,0.9416846652267818,0.9933110367892977,1.0,0.9409649972796829,0.046865795683978195,0.6727352368009715
2388.0,*2388*,Old Fashioned Potato Dumplings,1538.0,Duckie067,PT12M,PT15M,PT27M,1999-10-18T15:19:00Z,Make and share this Old Fashioned Potato Dumplings recipe from Food.com.,character(0),Potato,"c(""Vegetable"", ""Healthy"", ""< 30 Mins"")","c(""6"", ""1"", ""1/2"", ""2"", ""1"", ""4"", ""2"", ""2"")","c(""potatoes"", ""salt"", ""pepper"", ""shortening"", ""nutmeg"", ""eggs"", ""all-purpose flour"")",4.5,2.0,269.9,7.9,2.3,124.0,464.3,41.3,5.0,2.0,9.1,,,"c(""Mix all ingredients together to form a soft dough."", ""Drop by tablespoon  full into a slightly salted boiling water."", ""Cover and boil until light and fluffy (approximately 12 minutes)."", ""Do not lift lid or they will fall and  turn out doughy."")",6.35,"['potatoes', 'salt', 'pepper', 'shortening', 'nutmeg', 'eggs', 'all-purpose flour']",27,269.9,9.1,7.9,41.3,6.35,0.6029498166483315,0.6878847882186726,0.8976241900647948,0.9819397993311036,0.875,0.8606121944036428,0.28523082650214915,0.6879977840331946
661.0,*661*,Aunt Kay's Pork Chops Casserole,1548.0,Peggy Benisch,,PT25M,PT25M,1999-08-14T20:03:00Z,Make and share this Aunt Kay's Pork Chops Casserole recipe from Food.com.,character(0),Pork,"c(""Meat"", ""Free Of..."", ""< 30 Mins"", ""Oven"")","c(""4 -6"", NA, ""2"", ""1"", ""4"", ""1"", ""4"")","c(""baby green peas"", ""potatoes"", ""onion"", ""margarine"")",4.0,5.0,877.3,30.4,8.5,137.3,266.0,93.4,11.3,8.5,55.3,4.0,,"c(""Line a 9\"" x 13\""  pan with cooking foil, shiny side in; spray with cooking spray lightly."", ""Place 4 to 6 medium sized chops inside; season with salt and pepper."", ""Top in 3rds:  Make 2 cups instant rice to fill one-third, center third is a can of drained baby green peas, last third place 4 medium peeled and cut-up potatoes."", ""Chop one small onion over all."", ""Dollop margarine in small chunks over top."", ""Season with salt and pepper again."", ""Roll up excess foil to seal casserole on top and ends."", 
""Bake at 350 degrees Fahrenheit for 1-1/2 hours."", ""Yummy Casserole!"", ""Instead of the green peas I have used green beans or corn before to change the flavor on the chops, but I like the peas best!"")",4.9,"['baby green peas', 'potatoes', 'onion', 'margarine']",25,219.325,13.825,7.6,23.35,1.225,0.6790826404882543,0.7859284015932072,0.9861771058315335,0.9832775919732442,0.75,0.8763457748494963,0.03773219221892292,0.44639822763729975
567.0,*567*,Corn Dogs,1535.0,Marg CaymanDesigns,PT10M,PT10M,PT20M,1999-08-19T05:35:00Z,Here's a good basic recipe for corn dogs. I'm looking forward to trying some of the suggestions from reviews as to adding dry mustard or other seasonings to the batter.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/7/MdQ79eiR9GAblTjaQZrg_corn-dog-2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/7/PgPUVj0RMSmWiW2vlomF_corn-dog-1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/7/picVYrILN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/7/lOVlBchoRCKVDlyFuUXy_corn-dog-3.jpg""
)",Lunch/Snacks,"c(""Kid Friendly"", ""< 30 Mins"", ""Deep Fried"")","c(""3/4"", ""3/4"", ""1"", ""1/4"", ""1"", ""2/3"", ""6 -8"", ""6 -8"", NA)","c(""yellow cornmeal"", ""flour"", ""baking powder"", ""salt"", ""egg"", ""milk"")",4.5,22.0,290.2,15.8,6.2,58.6,701.2,27.0,1.5,1.7,9.8,,,"c(""Combine cornmeal, flour, baking powder, salt and egg; mix well."", ""Stir in milk to make a thick batter; place in a tall narrow glass. Let stand 4 minutes to thicken."", ""Meanwhile, heat oil to 375 degrees F."", ""Pat hot dogs dry. Dust with flour if desired. Insert sticks in hot dogs; dip into batter. Let excess drip off."", ""Fry until golden brown, about 5-6 minutes. (I've found it works best to fry them one at a time. Unless you have a fryer that is big enough to handle more without them touching.)."", 
""Drain on paper towel."")",9.0,"['yellow cornmeal', 'flour', 'baking powder', 'salt', 'egg', 'milk']",20,290.2,9.8,15.8,27.0,9.0,0.5138000691085003,0.573078021053297,0.8518358531317495,0.9866220735785953,0.875,0.8216339869409104,0.04490246872216773,0.4452942975993395
1975.0,*1975*,Grandma Hornsby's Homemade Noodles,1538.0,Duckie067,,PT0S,PT0S,1999-10-10T04:05:00Z,Make and share this Grandma Hornsby's Homemade Noodles recipe from Food.com.,character(0),Healthy,"c(""< 15 Mins"", ""Easy"")","c(""1/4"", ""1"", ""1"")","c(""salt"", ""all-purpose flour"", ""egg"")",5.0,1.0,528.5,6.2,1.7,211.5,653.9,95.8,3.4,0.7,19.2,1.0,,"c(""Mix and sift flour and salt. Gradually add the egg until a stiff  dough is formed."", ""Knead for a few minutes on floured board."", ""Roll out  until it is 1/8 inches thick."", ""Cut into any length strips and let dry  completely."")",3.5,"['salt', 'all-purpose flour', 'egg']",0,528.5,19.2,6.2,95.8,3.5,0.7272015316013958,0.8478957596702927,0.9468682505399568,1.0,1.0,0.9486910025525623,0.01091620421421864,0.4449289636869461
2188.0,*2188*,Beef Stroganoff with Dill,1733.0,Bob Boston,,PT0S,PT0S,1999-10-15T03:48:00Z,Make and share this Beef Stroganoff with Dill recipe from Food.com.,character(0),Meat,"""< 15 Mins""","c(""1 1/2"", ""4"", ""1/2"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""3"", ""3"")","c(""butter"", ""mushroom"", ""onion"", ""cornstarch"", ""water"", ""sour cream"", ""dill weed"", ""butter"", ""paprika"")",4.5,3.0,1098.0,56.9,28.7,303.3,806.5,90.2,5.4,6.6,56.4,4.0,,"c(""Cut meat into 1/4\"" strips and brown in butter."", ""In a separate pan, saute mushrooms and add to meat. In the separate pan, saute onions and add to meat mixture. Add beef stock."", ""Cover and simmer 1 hour."", ""At about 40 min., begin to cook noodles."", ""Mix corn starch and water in small container and add, stirring rapidly until sauce is thickened."", ""Stir in sour cream and dill weed."", ""Serve over Paprika Noodles: Drain noodles and p ut in bowl."", ""Toss gently with chicken stock base, butter, and paprika."", 
""Note: Chicken stock base or granular boullion may be very salty."", ""Let diners salt and pepper to their own tastes."", ""Robert Boston http://home.earthlink.net/~bboston/"")",12.25,"['butter', 'mushroom', 'onion', 'cornstarch', 'water', 'sour cream', 'dill weed', 'butter', 'paprika']",0,274.5,14.1,14.225,22.55,3.0625,0.5693417159763314,0.6446043808681425,0.9544276457883369,1.0,0.875,0.8685080066641199,0.042615727159008396,0.4431566584880137
1721.0,*1721*,Lemon Crumb Bars,1788.0,animalhouse,PT45M,PT10M,PT55M,1999-10-03T10:54:00Z,Make and share this Lemon Crumb Bars recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/17/21/picbMraz2.jpg""",Bar Cookie,"c(""Dessert"", ""Cookie & Brownie"", ""Fruit"", ""< 60 Mins"", ""Oven"")","c(""1"", ""1/2"", ""1"", ""3"", ""2"", ""1"", ""1/2"")","c(""butter"", ""margarine"", ""egg"", ""sweetened condensed milk"", ""lemon juice"")",5.0,6.0,217.1,9.1,4.1,47.0,267.7,30.9,0.4,18.8,3.5,,24-36 bars,"c(""Preheat oven to 350Â°F."", ""In large bowl, heat cake mix, margarine and 1 egg with  mixer until crumbly."", ""Stir in saltine crumbs."", ""Reserving 2 cups of crumb mixture,  press remaining crumbs into bottom of greased 13x9 baking pan."", ""Bake 20 minutes."", ""With mixer or wire whisk, beat 3 egg yolks, sweetened condensed milk and lemon juice. Spread over prepared crust. Top with reserved crumb mixture. Bake 25  minutes or until set. Cool."", ""Cut into bars. Store covered in refrigerator."")",10.5,"['butter', 'margarine', 'egg', 'sweetened condensed milk', 'lemon juice']",55,217.1,3.5,9.1,30.9,10.5,0.4870636674259682,0.5386469662549086,0.8259179265658747,0.9632107023411371,1.0,0.8319438987904801,0.04650959474763107,0.4425662304447508
555.0,*555*,Garlic Greek Sauce,1533.0,Dancer,,PT35M,PT35M,1999-08-12T06:40:00Z,Make and share this Garlic Greek Sauce recipe from Food.com.,character(0),Greek,"c(""European"", ""Low Protein"", ""Low Cholesterol"", ""Free Of..."", ""< 60 Mins"")","c(""1"", ""1"", ""1"", NA, NA, NA)","c(""yogurt"", ""cucumber"", ""garlic"", ""salt"", ""pepper"", ""lemon juice"")",4.0,3.0,188.1,7.7,4.9,29.5,111.0,22.5,1.6,15.6,10.0,,1 batch,"c(""Cut up the cucumber into very small pieces. Sprinkle them with a little salt"", ""and let them sit for a few minutes. This will draw out excess moisture."", ""Rinse them (but don't soak them) to get off the salt. Crush the garlic and"", ""mix it with the yogurt. If you like your sauce thick, drain in through a"", ""cheese cloth and use only the thick stuff that remains. Finally, mix in the"", ""cucumber. I like to add a lot of pepper and, at the last minute, a little"", ""lemon juice."")",4.9,"['yogurt', 'cucumber', 'garlic', 'salt', 'pepper', 'lemon juice']",35,188.1,10.0,7.7,22.5,4.9,0.5928708730556949,0.6749051560576752,0.9226781857451404,0.9765886287625418,0.75,0.8310429926413394,0.04550248665233366,0.44181881260086225
384.0,*384*,Iced Mochaccino Smoothie,1737.0,Teddi2,,PT10M,PT10M,1999-08-30T13:58:00Z,Make and share this Iced Mochaccino Smoothie recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/4/picOGSTjU.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/4/piczr25GY.jpg"")",Smoothies,"c(""Beverages"", ""Low Protein"", ""< 15 Mins"", ""Easy"")","c(""1"", ""6"", ""1"", ""1/2"", ""1"", ""1/4"", NA)","c(""sugar"", ""milk"", ""vanilla ice cream"", ""frozen yogurt"", ""heavy cream"", ""cinnamon"", ""cocoa powder"")",5.0,2.0,508.8,26.4,15.5,82.1,308.9,62.1,2.1,40.2,7.8,2.0,,"c(""Place the espresso, chocolate syrup, sugar and milk in a blender and blend to combine."", ""Add the ice cream and blend until smooth."", ""Pour the mixture into two chilled glasses and top each with whipped cream and chocolate curls, or a dusting of cinnamon or cocoa."")",18.4,"['sugar', 'milk', 'vanilla ice cream', 'frozen yogurt', 'heavy cream', 'cinnamon', 'cocoa powder']",10,254.4,3.9,13.2,31.05,9.2,0.47154686774941995,0.5186644799688838,0.8483801295896328,0.9933110367892977,1.0,0.8400889115869535,0.038205814774666516,0.441404797546647
1527.0,*1527*,Enchiladas Pollo Verde,1601.0,Gilcat2,,PT0S,PT0S,1999-08-25T05:41:00Z,Make and share this Enchiladas Pollo Verde recipe from Food.com.,character(0),Poultry,"c(""Meat"", ""Mexican"", ""< 15 Mins"", ""Stove Top"")","c(""2"", ""1"", ""3"", ""1"", ""1"", NA, ""1"", ""6"", NA)","c(""chicken breasts"", ""onion"", ""peppercorns"", ""garlic"", ""olive oil"", ""corn tortillas"", ""monterey jack cheese"")",5.0,1.0,376.0,16.4,3.6,61.9,85.4,34.3,6.4,8.0,24.7,3.0,,"c(""Place chicken in saucepan cover with water."", ""Add 1/4 of onion, salt to taste  and peppercorns."", ""Simmer 45 minutes."", ""Cool chicken in broth."", ""Drain, reserving  1/4 cup broth."", ""Bone and shred chicken."", ""Wash husked tomatillos and place in  medium sauce pan."", ""Add 1/2 inch water."", ""Bring to a boil, reduce heat, cover and  simmer 10 mins. or until tender."", ""Drain and cool slightly."", ""Place cooked  tomatillos, remaining onion and garlic in blender and puree."", ""Heat olive oil in  medium saucepan."", 
""Add tomatillo mixture, reserved broth and 1/2 tsp. salt."", ""Simmer covered 15 mins."", ""Soften tortillas in oil."", ""Place 1/6 chicken on each  softened tortilla; add a spoonful of sauce. Fold tortilla over filling; top  with cheese and more sauce."")",22.8,"['chicken breasts', 'onion', 'peppercorns', 'garlic', 'olive oil', 'corn tortillas', 'monterey jack cheese']",0,125.33333333333333,8.233333333333333,5.466666666666666,11.433333333333332,7.6000000000000005,0.4727151546750087,0.5201689962322472,0.8760259179265659,1.0,1.0,0.8490487285397033,0.03003165192418144,0.44132477060861985
